date,report_id,report_name,status,log_date
27/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,29/03/2023 10:13:02
27/03/2023,2,Details of Post Offices not performded EOD in DPMS,skipped,29/03/2023 10:13:02
27/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,skipped,29/03/2023 10:13:02
27/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,29/03/2023 10:13:02
27/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,29/03/2023 10:13:02
27/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,29/03/2023 10:13:02
28/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,29/03/2023 13:59:19
28/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,29/03/2023 13:59:20
28/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,29/03/2023 13:59:21
28/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,29/03/2023 13:59:22
28/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,29/03/2023 13:59:22
28/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,29/03/2023 13:59:23
30/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,31/03/2023 15:04:28
30/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,31/03/2023 15:04:29
30/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,31/03/2023 15:04:30
30/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,31/03/2023 15:04:30
30/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,31/03/2023 15:04:31
30/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,31/03/2023 15:04:32
30/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,03/04/2023 10:17:13
30/03/2023,2,Details of Post Offices not performded EOD in DPMS,skipped,03/04/2023 10:17:13
30/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,skipped,03/04/2023 10:17:13
30/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,03/04/2023 10:17:13
30/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,03/04/2023 10:17:13
30/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,03/04/2023 10:17:13
31/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,03/04/2023 10:17:31
31/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,03/04/2023 10:17:34
31/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,03/04/2023 10:17:37
31/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,03/04/2023 10:17:37
31/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,03/04/2023 10:17:38
31/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,03/04/2023 10:17:40
01/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,03/04/2023 10:22:05
01/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,03/04/2023 10:22:07
03/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,05/04/2023 18:43:14
03/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,05/04/2023 18:43:14
03/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,05/04/2023 18:43:16
03/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,05/04/2023 18:43:16
03/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,05/04/2023 18:43:17
03/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,05/04/2023 18:43:18
05/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,06/04/2023 17:03:57
05/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,06/04/2023 17:03:58
05/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,06/04/2023 17:03:59
05/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,06/04/2023 17:04:00
05/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,06/04/2023 17:04:00
05/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,06/04/2023 17:04:02
05/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,10/04/2023 14:36:17
05/04/2023,2,Details of Post Offices not performded EOD in DPMS,skipped,10/04/2023 14:36:17
05/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,skipped,10/04/2023 14:36:17
05/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,10/04/2023 14:36:17
05/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,10/04/2023 14:36:17
05/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,10/04/2023 14:36:17
05/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,10/04/2023 14:38:35
05/04/2023,2,Details of Post Offices not performded EOD in DPMS,skipped,10/04/2023 14:38:35
05/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,skipped,10/04/2023 14:38:35
05/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,10/04/2023 14:38:35
05/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,10/04/2023 14:38:35
05/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,10/04/2023 14:38:35
05/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,10/04/2023 14:40:03
05/04/2023,2,Details of Post Offices not performded EOD in DPMS,skipped,10/04/2023 14:40:03
05/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,skipped,10/04/2023 14:40:03
05/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,10/04/2023 14:40:03
05/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,10/04/2023 14:40:03
05/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,10/04/2023 14:40:03
07/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,10/04/2023 14:44:44
06/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,10/04/2023 16:46:43
06/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,10/04/2023 16:46:45
06/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,10/04/2023 16:46:46
10/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,11/04/2023 15:50:24
10/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,11/04/2023 15:50:25
10/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,11/04/2023 15:50:26
10/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,11/04/2023 15:50:27
10/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,11/04/2023 15:50:28
10/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,11/04/2023 15:50:29
12/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,13/04/2023 15:11:07
12/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,13/04/2023 15:11:07
12/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,13/04/2023 15:11:08
12/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,13/04/2023 15:11:09
12/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,13/04/2023 15:11:09
12/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,13/04/2023 15:11:11
13/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,17/04/2023 15:48:20
13/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,17/04/2023 15:48:21
13/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,17/04/2023 15:48:22
13/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,17/04/2023 15:48:23
13/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,17/04/2023 15:48:23
13/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,17/04/2023 15:48:32
17/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,18/04/2023 17:24:21
17/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,18/04/2023 17:24:21
17/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,18/04/2023 17:24:22
17/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,18/04/2023 17:24:23
17/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,18/04/2023 17:24:23
17/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,18/04/2023 17:24:24
18/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,19/04/2023 16:17:13
18/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,19/04/2023 16:17:14
18/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,19/04/2023 16:17:15
18/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,19/04/2023 16:17:15
18/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,19/04/2023 16:17:16
21/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,24/04/2023 16:28:12
21/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,24/04/2023 16:28:13
21/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,24/04/2023 16:28:14
21/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,24/04/2023 16:28:15
21/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,24/04/2023 16:28:16
21/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,24/04/2023 16:28:17
24/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,25/04/2023 17:05:57
24/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,25/04/2023 17:05:57
24/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,25/04/2023 17:05:59
24/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,25/04/2023 17:06:00
24/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,25/04/2023 17:06:00
24/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,25/04/2023 17:06:02
25/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,27/04/2023 17:28:15
25/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,27/04/2023 17:28:16
25/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,27/04/2023 17:28:17
25/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,27/04/2023 17:28:18
25/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,27/04/2023 17:28:18
25/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,27/04/2023 17:28:19
26/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,28/04/2023 14:06:46
26/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,28/04/2023 14:06:47
26/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,28/04/2023 14:06:47
26/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,28/04/2023 14:06:48
26/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,28/04/2023 14:06:48
26/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,28/04/2023 14:06:50
27/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,28/04/2023 17:52:35
27/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,28/04/2023 17:52:35
27/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,28/04/2023 17:52:36
27/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,28/04/2023 17:52:37
27/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,28/04/2023 17:52:38
27/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,28/04/2023 17:52:39
27/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,01/05/2023 17:48:56
27/04/2023,2,Details of Post Offices not performded EOD in DPMS,skipped,01/05/2023 17:48:56
27/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,skipped,01/05/2023 17:48:56
27/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,01/05/2023 17:48:56
27/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,01/05/2023 17:48:56
27/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,01/05/2023 17:48:56
28/04/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,01/05/2023 17:49:37
28/04/2023,2,Details of Post Offices not performded EOD in DPMS,success,01/05/2023 17:49:37
28/04/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,01/05/2023 17:49:38
28/04/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,01/05/2023 17:49:39
28/04/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,01/05/2023 17:49:39
28/04/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,01/05/2023 17:49:41
01/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,03/05/2023 18:20:27
01/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,03/05/2023 18:20:27
01/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,03/05/2023 18:20:28
01/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,03/05/2023 18:20:29
01/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,03/05/2023 18:20:30
01/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,03/05/2023 18:20:31
02/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,03/05/2023 18:21:41
02/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,03/05/2023 18:21:41
02/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,03/05/2023 18:21:42
02/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,03/05/2023 18:21:43
02/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,03/05/2023 18:21:43
02/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,03/05/2023 18:21:44
03/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,08/05/2023 09:57:23
03/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,08/05/2023 09:57:23
03/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,08/05/2023 09:57:24
03/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,08/05/2023 09:57:25
03/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,08/05/2023 09:57:25
03/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,08/05/2023 09:57:27
04/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,08/05/2023 17:17:34
04/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,08/05/2023 17:17:35
04/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,08/05/2023 17:17:35
04/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,08/05/2023 17:17:36
04/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,08/05/2023 17:17:36
04/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,08/05/2023 17:17:38
08/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,09/05/2023 17:17:04
08/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,09/05/2023 17:17:05
08/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,09/05/2023 17:17:06
08/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,09/05/2023 17:17:06
08/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,09/05/2023 17:17:07
08/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,09/05/2023 17:17:08
09/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,11/05/2023 10:18:41
09/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,11/05/2023 10:18:41
09/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,11/05/2023 10:18:42
09/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,11/05/2023 10:18:42
09/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,11/05/2023 10:18:43
16/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,17/05/2023 17:28:23
16/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,17/05/2023 17:28:24
16/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,17/05/2023 17:28:24
16/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,17/05/2023 17:28:25
16/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,17/05/2023 17:28:25
16/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,17/05/2023 17:28:26
19/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,22/05/2023 14:27:44
19/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,22/05/2023 14:27:45
19/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,22/05/2023 14:27:45
19/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,22/05/2023 14:27:46
19/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,22/05/2023 14:27:46
19/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,22/05/2023 14:27:48
18/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,22/05/2023 14:28:41
18/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,22/05/2023 14:28:41
18/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,22/05/2023 14:28:42
18/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,22/05/2023 14:28:43
18/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,22/05/2023 14:28:43
18/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,22/05/2023 14:28:44
17/05/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,22/05/2023 14:29:17
17/05/2023,2,Details of Post Offices not performded EOD in DPMS,success,22/05/2023 14:29:17
17/05/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,22/05/2023 14:29:18
17/05/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,22/05/2023 14:29:18
17/05/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,22/05/2023 14:29:19
17/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,22/05/2023 14:29:20
15/05/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,22/05/2023 14:31:45
07/06/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,08/06/2023 16:06:18
07/06/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,08/06/2023 16:06:20
07/06/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,08/06/2023 16:06:20
07/06/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,08/06/2023 16:06:21
07/06/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,08/06/2023 16:56:54
07/06/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,08/06/2023 16:56:55
07/06/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,08/06/2023 16:56:55
07/06/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,08/06/2023 16:56:55
07/06/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,08/06/2023 17:21:25
07/06/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,08/06/2023 17:21:26
07/06/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,08/06/2023 17:21:26
07/06/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,08/06/2023 17:21:26
08/06/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,09/06/2023 15:16:13
08/06/2023,2,Details of Post Offices not performded EOD in DPMS,success,09/06/2023 15:16:13
08/06/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,09/06/2023 15:16:14
08/06/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,09/06/2023 15:16:15
08/06/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,09/06/2023 15:16:15
08/06/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,09/06/2023 15:16:16
09/06/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,12/06/2023 10:53:24
09/06/2023,2,Details of Post Offices not performded EOD in DPMS,success,12/06/2023 10:53:24
09/06/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,12/06/2023 10:53:25
09/06/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,12/06/2023 10:53:26
09/06/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,12/06/2023 10:53:26
09/06/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,12/06/2023 10:53:27
12/06/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,13/06/2023 18:05:29
12/06/2023,2,Details of Post Offices not performded EOD in DPMS,success,13/06/2023 18:05:30
12/06/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,13/06/2023 18:05:31
12/06/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,13/06/2023 18:05:31
12/06/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,13/06/2023 18:05:32
12/06/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,13/06/2023 18:05:33
13/06/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,19/06/2023 17:14:32
13/06/2023,2,Details of Post Offices not performded EOD in DPMS,success,19/06/2023 17:14:33
13/06/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,19/06/2023 17:14:35
13/06/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,19/06/2023 17:14:35
